Codice provincia;Codice comune;Denominazione comune;Agricoltura;Industria in senso stretto;Costruzioni;Commercio;Turismo;Altri servizi;Imprese non classificate;Totale imprese
006;001;ACQUI TERME;66;45;23;193;73;203;25;628
006;002;ALBERA LIGURE;9;0;0;1;1;0;0;11
006;003;ALESSANDRIA;186;157;147;699;240;894;99;2.422
006;004;ALFIANO NATTA;11;0;1;2;3;5;0;22
006;005;ALICE BEL COLLE;33;1;0;2;0;3;1;40
006;006;ALLUVIONI CAMBIO';11;0;1;6;0;6;1;25
006;007;ALTAVILLA MONFERRATO;8;1;0;3;2;2;0;16
006;008;ALZANO SCRIVIA;4;0;0;0;0;0;0;4
006;009;ARQUATA SCRIVIA;11;13;4;47;17;33;9;134
006;010;AVOLASCA;14;0;0;0;1;0;0;15
006;011;BALZOLA;6;1;0;6;1;7;0;21
006;012;BASALUZZO;20;2;4;16;5;18;1;66
006;013;BASSIGNANA;16;3;2;2;0;6;0;29
006;014;BELFORTE MONFERRATO;0;0;1;5;2;1;1;10
006;015;BERGAMASCO;18;0;0;4;0;6;0;28
006;016;BERZANO DI TORTONA;3;0;0;0;0;1;0;4
006;017;BISTAGNO;41;2;0;13;8;7;2;73
006;018;BORGHETTO DI BORBERA;21;0;2;8;4;8;2;45
006;019;BORGORATTO ALESSANDRINO;5;2;0;1;1;2;0;11
006;020;BORGO SAN MARTINO;11;2;1;4;1;12;1;32
006;021;BOSCO MARENGO;22;5;3;13;6;9;4;62
006;022;BOSIO;11;3;2;5;1;1;0;23
006;023;BOZZOLE;3;2;0;2;1;0;0;8
006;024;BRIGNANO-FRASCATA;18;0;0;2;0;1;0;21
006;025;CABELLA LIGURE;7;0;2;3;3;4;1;20
006;026;CAMAGNA MONFERRATO;8;0;0;2;0;1;0;11
006;027;CAMINO;11;1;0;1;2;6;1;22
006;028;CANTALUPO LIGURE;9;0;1;6;3;1;1;21
006;029;CAPRIATA D'ORBA;42;3;1;11;4;12;1;74
006;030;CARBONARA SCRIVIA;1;5;2;6;5;7;0;26
006;031;CARENTINO;6;0;1;1;0;2;1;11
006;032;CAREZZANO;8;0;0;2;1;1;0;12
006;033;CARPENETO;28;1;1;2;1;4;0;37
006;034;CARREGA LIGURE;3;0;0;0;0;0;1;4
006;035;CARROSIO;4;0;0;3;0;3;0;10
006;036;CARTOSIO;14;0;0;3;3;3;1;24
006;037;CASAL CERMELLI;22;4;4;5;1;3;1;40
006;038;CASALEGGIO BOIRO;11;0;0;2;0;1;1;15
006;039;CASALE MONFERRATO;51;95;36;310;100;393;43;1.028
006;040;CASALNOCETO;7;2;1;4;2;5;0;21
006;041;CASASCO;6;0;0;0;0;0;0;6
006;042;CASSANO SPINOLA;8;1;4;12;2;13;3;43
006;043;CASSINE;58;2;0;16;4;19;1;100
006;044;CASSINELLE;18;2;2;2;0;5;0;29
006;045;CASTELLANIA;3;0;0;0;1;0;1;5
006;046;CASTELLAR GUIDOBONO;3;1;0;1;0;0;0;5
006;047;CASTELLAZZO BORMIDA;34;11;6;29;7;20;6;113
006;048;CASTELLETTO D'ERRO;13;0;0;0;0;0;0;13
006;049;CASTELLETTO D'ORBA;14;3;2;6;1;10;2;38
006;050;CASTELLETTO MERLI;6;1;1;2;0;0;0;10
006;051;CASTELLETTO MONFERRATO;3;3;1;6;1;6;0;20
006;052;CASTELNUOVO BORMIDA;28;2;1;4;1;1;0;37
006;053;CASTELNUOVO SCRIVIA;29;7;7;34;10;34;6;127
